index,latency,jitter,recv-time,recv-size
4880,0.000183,5.9e-05,1648493060464787078,55
4881,0.000177,6.00000000000001e-06,1648493060465808356,55
4882,0.0002,2.3000000000000017e-05,1648493060466906919,55
4883,0.00019,9.999999999999999e-06,1648493060467901145,55
4884,0.000174,1.600000000000001e-05,1648493060468876469,55
4885,0.000177,2.9999999999999916e-06,1648493060469922266,55
4886,0.000179,1.9999999999999944e-06,1648493060470974322,55
4887,0.000166,1.299999999999999e-05,1648493060471961583,55
4888,0.000184,1.8000000000000004e-05,1648493060473062093,55
4889,0.000196,1.1999999999999994e-05,1648493060474062236,55
4890,0.000223,2.7000000000000006e-05,1648493060475180662,55
4891,0.000188,3.500000000000001e-05,1648493060476090928,55
4892,0.000244,5.6000000000000006e-05,1648493060477246237,55
4893,0.000193,5.099999999999999e-05,1648493060478202419,55
4894,0.000247,5.3999999999999984e-05,1648493060479445929,55
4895,0.000243,3.999999999999989e-06,1648493060480415176,55
4896,0.000216,2.7000000000000006e-05,1648493060481389719,55
4897,0.000204,1.1999999999999994e-05,1648493060482346553,55
4898,0.000227,2.299999999999999e-05,1648493060483400196,55
4899,0.000226,9.999999999999972e-07,1648493060484422611,55
4900,0.000212,1.3999999999999988e-05,1648493060485442965,55
4901,0.000207,5.000000000000013e-06,1648493060486506020,55
4902,0.000224,1.7000000000000007e-05,1648493060487527429,55
4903,0.000208,1.600000000000001e-05,1648493060488537851,55
4904,0.000233,2.500000000000001e-05,1648493060489603286,55
4905,0.000231,1.9999999999999944e-06,1648493060490668450,55
4906,0.000203,2.8000000000000003e-05,1648493060491592159,55
4907,0.000197,6.00000000000001e-06,1648493060492636758,55
4908,0.0002,3.0000000000000187e-06,1648493060493678014,55
4909,0.000208,7.999999999999978e-06,1648493060494751753,55
4910,0.000194,1.3999999999999988e-05,1648493060495773786,55
4911,0.000194,0.0,1648493060496803649,55
4912,0.000175,1.9e-05,1648493060497772986,55
4913,0.000182,7.0000000000000075e-06,1648493060498812036,55
4914,0.000189,7.0000000000000075e-06,1648493060499817486,55
4915,0.000191,1.9999999999999944e-06,1648493060500837524,55
4916,0.000188,3.0000000000000187e-06,1648493060501838154,55
4917,0.00019,2.0000000000000215e-06,1648493060502851665,55
4918,0.000209,1.9e-05,1648493060503899116,55
4919,0.000175,3.400000000000001e-05,1648493060504853738,55
4920,0.000177,1.9999999999999944e-06,1648493060505856638,55
4921,0.00021,3.3000000000000016e-05,1648493060506944722,55
4922,0.000192,1.8000000000000004e-05,1648493060507950085,55
4923,0.000206,1.3999999999999988e-05,1648493060508981881,55
4924,0.000196,9.999999999999999e-06,1648493060509966472,55
4925,0.000182,1.3999999999999988e-05,1648493060510942011,55
4926,0.000193,1.0999999999999996e-05,1648493060511972871,55
4927,0.00019,2.9999999999999916e-06,1648493060512988001,55
4928,0.000192,1.9999999999999944e-06,1648493060514010807,55
4929,0.00019,1.9999999999999944e-06,1648493060515007012,55
4930,0.000194,3.999999999999989e-06,1648493060516018180,55
4931,0.00019,3.999999999999989e-06,1648493060517019362,55
4932,0.00017,1.9999999999999998e-05,1648493060517990267,55
4933,0.000192,2.1999999999999993e-05,1648493060519042347,55
4934,0.000177,1.5000000000000012e-05,1648493060520019558,55
4935,0.000198,2.0999999999999995e-05,1648493060521158419,55
4936,0.000194,3.999999999999989e-06,1648493060522235169,55
4937,0.00019,3.999999999999989e-06,1648493060523242386,55
4938,0.000203,1.299999999999999e-05,1648493060524282051,55
4939,0.000189,1.3999999999999988e-05,1648493060525272202,55
4940,0.000174,1.5000000000000012e-05,1648493060526240383,55
4941,0.000206,3.199999999999999e-05,1648493060527331079,55
4942,0.000192,1.3999999999999988e-05,1648493060528336438,55
4943,0.00019,1.9999999999999944e-06,1648493060529367694,55
4944,0.000202,1.1999999999999994e-05,1648493060530400403,55
4945,0.000179,2.3000000000000017e-05,1648493060531385309,55
4946,0.000176,2.9999999999999916e-06,1648493060532365870,55
4947,0.000169,7.0000000000000075e-06,1648493060533354407,55
4948,0.00019,2.1000000000000023e-05,1648493060534412892,55
4949,0.000192,1.9999999999999944e-06,1648493060535422694,55
4950,0.000182,9.999999999999999e-06,1648493060536416234,55
4951,0.000177,5.000000000000013e-06,1648493060537415818,55
4952,0.000178,9.999999999999972e-07,1648493060538449330,55
4953,0.00018,2.0000000000000215e-06,1648493060539458967,55
4954,0.000178,2.0000000000000215e-06,1648493060540451015,55
4955,0.000188,9.999999999999999e-06,1648493060541471791,55
4956,0.000173,1.4999999999999985e-05,1648493060542480971,55
4957,0.000168,5.000000000000013e-06,1648493060543450652,55
4958,0.000182,1.4000000000000015e-05,1648493060544505912,55
4959,0.000158,2.4000000000000014e-05,1648493060545463124,55
4960,0.000169,1.0999999999999996e-05,1648493060546557329,55
4961,0.000179,9.999999999999999e-06,1648493060547531266,55
4962,0.000171,7.999999999999978e-06,1648493060548528626,55
4963,0.000174,2.9999999999999916e-06,1648493060549537701,55
4964,0.000183,9.000000000000002e-06,1648493060550590946,55
4965,0.000191,8.000000000000005e-06,1648493060551584158,55
4966,0.000175,1.600000000000001e-05,1648493060552568121,55
4967,0.000189,1.4000000000000015e-05,1648493060553600681,55
4968,0.000228,3.9e-05,1648493060554703375,55
4969,0.000217,1.1000000000000023e-05,1648493060555699790,55
4970,0.000189,2.7999999999999976e-05,1648493060556648424,55
4971,0.000163,2.600000000000001e-05,1648493060557596746,55
4972,0.00018,1.7000000000000007e-05,1648493060558727045,55
4973,0.000167,1.3000000000000018e-05,1648493060559640381,55
4974,0.000228,6.100000000000002e-05,1648493060560777442,55
4975,0.000219,9.000000000000002e-06,1648493060561766625,55
4976,0.00022,9.999999999999972e-07,1648493060562792954,55
4977,0.000204,1.600000000000001e-05,1648493060563746972,55
4978,0.000206,1.9999999999999944e-06,1648493060564753615,55
